0,2770
1,2613
2,2503
3,2578
4,2665
5,2613
6,2677
7,2735
8,2776
9,2764
10,3078
11,2921
12,2811
13,2886
14,2973
15,2921
16,2985
17,3043
18,3083
19,3072
20,3455
21,3298
22,3188
23,3263
24,3350
25,3298
26,3362
27,3420
28,3461
29,3449
30,2247
31,2091
32,1980
33,2056
34,2143
35,2091
36,2155
37,2213
38,2253
39,2242
40,2247
41,2114
42,1980
43,2056
44,2143
45,2091
46,2155
47,2213
48,2253
49,2242
50,2613
51,2480
52,2346
53,2422
54,2509
55,2456
56,2520
57,2578
58,2619
59,2607
60,3043
61,2909
62,2776
63,2851
64,2938
65,2886
66,2950
67,3008
68,3049
69,3037
70,2886
71,2752
72,2619
73,2694
74,2781
75,2729
76,2793
77,2851
78,2892
79,2880
80,2445
81,2311
82,2178
83,2253
84,2340
85,2288
86,2352
87,2410
88,2451
89,2439
90,2509
91,2375
92,2242
93,2317
94,2404
95,2352
96,2416
97,2474
98,2514
99,2503
100,2282
101,2149
102,2015
103,2091
104,2178
105,2126
106,2189
107,2247
108,2288
109,2276
110,1591
111,1528
112,1446
113,2131
114,1684
115,2474
116,1406
117,2747
118,1655
119,1905
120,2108
121,2184
122,1783
123,1551
124,1615
125,1969
126,2195
127,2137
128,2143
129,2311
130,2265
131,2282
132,2549
133,2422
134,2456
135,1001
136,2236
137,1818
138,1684
139,1708
140,1001
141,1001
142,1545
143,2178
144,2091
145,1597
146,1638
147,2265
148,2335
149,1737
150,1522
151,2514
152,1684
153,1992
154,1001
155,1980
156,2398
157,2456
158,2549
159,2456
160,2607
161,2335
162,2404
163,2323
164,2387
165,1001
166,2590
167,2590
168,2590
169,2590
170,2590
171,2590
172,2590
173,2590
174,2590
175,2590
176,2590
177,2590
178,2004
179,1226
180,1400
181,1998
182,2358
183,2015
184,1789
185,1516
186,1876
187,3864
188,3481
189,3426
190,2799
191,3170
192,3687
193,3815
194,3078
195,3391
196,3170
197,3739
198,3170
199,3385
200,2683
201,3763
202,3414
203,3182
204,1001
205,2886
206,3496
207,3374
208,1001
209,3397
210,2532
211,3536
212,3240
213,3228
214,3194
215,3304
216,3252
217,3083
218,2938
219,3432
220,2573
221,1001
222,1001
223,1001
224,1001
225,1001
226,1001
227,1001
228,1001
229,1001
230,1001
231,1001
232,1001
233,1001
234,1001
235,1001
236,1001
237,1001
238,1001
239,1001
240,1001
241,1001
242,1001
243,1001
244,1001
245,1001
246,1001
247,1001
248,3141
249,2114
250,2038
251,947
252,1510
253,1429
254,1580
255,2236
256,1650
257,1905
258,2178
259,2364
260,1922
261,2271
262,1969
263,2520
264,1992
265,2207
266,1562
267,2660
268,2056
269,2114
270,1001
271,1742
272,2166
273,2317
274,1001
275,2317
276,1638
277,2364
278,2038
279,2056
280,2160
281,2271
282,2305
283,2108
284,1795
285,2131
286,1504
287,1001
288,1001
289,1001
290,1001
291,1001
292,1001
293,1001
294,1001
295,1001
296,1001
297,1001
298,1001
299,1001
300,1001
301,1001
302,1001
303,1001
304,1001
305,1001
306,1052
307,1092
308,2311
309,2880
310,2973
311,2874
312,2927
313,3217
314,3542
315,3240
316,2776
317,3228
318,3258
319,2654
320,3583
321,3484
322,3020
323,2671
324,3513
325,2723
326,2787
327,3321
328,3519
329,3316
330,3008
331,2869
332,2636
333,3565
334,2456
335,3223
336,3234
337,3043
338,3188
339,3136
340,3112
341,2886
342,3234
343,3188
344,3501
345,3594
346,2950
347,3519
348,3496
349,2950
350,3507
351,3588
352,3327
353,2781
354,3455
355,2979
356,2863
357,3629
358,3942
359,3194
360,2758
361,2857
362,2433
363,3559
364,2793
365,3612
366,3617
367,2874
368,3170
369,1586
370,4032
371,4064
372,1934
373,4331
374,4018
375,6619
376,4535
377,3844
378,4546
379,4448
380,3902
381,1934
382,4558
383,4366
384,3896
385,1934
386,3960
387,4001
388,4564
389,4900
390,1934
391,4424
392,1934
393,4093
394,4686
395,3803
396,4564
397,4558
398,1934
399,1934
400,3591
401,3623
402,1493
403,3890
404,3577
405,4244
406,4093
407,3403
408,4105
409,4006
410,3461
411,1493
412,4117
413,3925
414,3455
415,1493
416,3519
417,3559
418,4122
419,4459
420,1493
421,3983
422,1493
423,3652
424,4244
425,3362
426,4122
427,4117
428,1493
429,1493
430,3591
431,3623
432,1493
433,3890
434,3577
435,3362
436,4093
437,3403
438,4105
439,4006
440,3461
441,1493
442,4117
443,3925
444,3455
445,1493
446,3519
447,3559
448,4122
449,4459
450,1493
451,3983
452,1493
453,3652
454,4244
455,4244
456,4122
457,4117
458,1493
459,1493
460,4032
461,4064
462,1934
463,4331
464,4018
465,6619
466,4535
467,3844
468,4546
469,4448
470,3902
471,1934
472,4558
473,4366
474,3896
475,1934
476,3960
477,4001
478,4564
479,4900
480,1934
481,4424
482,1934
483,4093
484,4686
485,3803
486,4564
487,4558
488,1934
489,1934
490,2828
491,2758
492,2729
493,2938
494,3118
495,3176
496,3159
497,2602
498,3176
499,3054
500,2631
501,3345
502,3310
503,2834
504,2567
505,3577
506,2590
507,2694
508,3054
509,3356
510,3240
511,2805
512,2723
513,2520
514,3002
515,2474
516,3002
517,2903
518,2903
519,3339
520,2689
521,2840
522,2741
523,2700
524,3014
525,3136
526,3170
527,2520
528,3136
529,3141
530,2619
531,3548
532,3078
533,2886
534,2619
535,3594
536,2671
537,2561
538,3170
539,3466
540,3246
541,2822
542,2840
543,2480
544,2956
545,2398
546,3014
547,2927
548,2944
549,3078
550,2288
551,1800
552,2050
553,2584
554,2706
555,2218
556,2660
557,2375
558,2880
559,2393
560,2665
561,1928
562,2996
563,2398
564,2439
565,1001
566,2004
567,2456
568,2636
569,1001
570,2874
571,1853
572,2851
573,2602
574,2352
575,2358
576,2439
577,2497
578,2172
579,2073
580,2393
581,1603
582,1001
583,1001
584,1001
585,1001
586,1001
587,1001
588,1001
589,1001
590,1001
591,1001
592,1001
593,1001
594,1001
595,1001
596,1001
597,1001
598,1001
599,1001
600,1001
601,1001
602,1001
603,1001
604,1001
605,1001
606,1001
607,1001
608,1001
609,1789
610,2189
611,1899
612,1829
613,2073
614,2033
615,2033
616,2108
617,2126
618,2213
619,2126
620,2364
621,2317
622,2242
623,2352
624,2236
625,2247
626,2323
627,2352
628,2271
629,2358
630,2480
631,2375
632,2364
633,2422
634,2532
635,2456
636,2416
637,2596
638,2526
639,2445
640,1998
641,4921
